"","DateTime","Temp","DO","CO2ppm_LowR","TempC","Baro_atm","V","kH_CO2","Hcc_CO2","Cgas_low","Caq_molL_low","pCO2_uatm_Low","pH","PAR_filled"
"139",2018-08-22 17:00:00,19.934252,9.522622,501.2425,24.71,0.898816805476035,27.1939637210663,29.6413983235539,0.033736600044451,18.4321235823266,0.621837181266846,558.917708792489,8.52473895582329,1104.01536
"140",2018-08-22 17:05:00,19.934252,9.497944,499.255,24.7075,0.898804734303387,27.1941006952347,29.6434029982019,0.0337343185618958,18.3589450372038,0.619326500345369,556.653590589966,8.52473895582329,1077.077715
"141",2018-08-22 17:10:00,19.925923,9.47599,499.80625,24.7,0.898804734303387,27.1934159525131,29.6494180376126,0.0337274748101774,18.3796787749209,0.619900152900298,557.169192222181,8.52473895582329,1050.14007
"142",2018-08-22 17:15:00,19.917593,9.437782,497.1875,24.67,0.898804734303387,27.1906769816265,29.6734934353464,0.033700110240772,18.285219611706,0.61621391669122,553.855985665701,8.52473895582329,1023.202425
"143",2018-08-22 17:20:00,19.900933,9.418635,494.02875,24.67,0.898804734303387,27.1906769816265,29.6734934353464,0.033700110240772,18.1690492786858,0.612298963661732,550.337207348223,8.52473895582329,996.26478
"144",2018-08-22 17:25:00,19.884273,9.391436,494.82,24.67,0.898804734303387,27.1906769816265,29.6734934353464,0.033700110240772,18.1981493264903,0.613279638480753,551.218642518371,8.52473895582329,969.327135
"145",2018-08-22 17:30:00,19.867611,9.372415,494.99875,24.66,0.898804734303387,27.1897639913309,29.6815239900407,0.0336909924280012,18.2053345574395,0.613355788723922,551.287086717449,8.52473895582329,942.38949
"146",2018-08-22 17:35:00,19.867611,9.364338,497.98,24.64,0.898804734303387,27.1879380107399,29.697593239084,0.0336727623666128,18.3162106594213,0.616757408991514,554.344479118264,8.52473895582329,915.451845
"147",2018-08-22 17:40:00,19.850948,9.321269,496.4925,24.63,0.898804734303387,27.1870250204443,29.7056319355946,0.0336636501175306,18.2621121519049,0.614769353888833,552.557605779917,8.52473895582329,888.5142
"148",2018-08-22 17:45:00,19.85928,9.310635,493.3675,24.62,0.898804537223017,27.1861179912324,29.7136733482065,0.033654539722547,18.1477730715033,0.610754949710677,548.949319931373,8.52473895582329,861.576555
"149",2018-08-22 17:50:00,19.85928,9.294616,499.655,24.62,0.898576909395951,27.1930047884559,29.7136733482065,0.033654539722547,18.3743945873946,0.618381792519224,555.663599948652,8.52473895582329,834.63891
"150",2018-08-22 17:55:00,19.850948,9.26527,492.16375,24.63,0.898340412952245,27.2010770613066,29.7056319355946,0.0336636501175306,18.0935390496026,0.6090945679537,547.174265702496,8.52473895582329,807.701265
"151",2018-08-22 18:00:00,19.850948,9.249343,495.07875,24.64,0.898104212129094,27.2091446292955,29.697593239084,0.0336727623666128,18.1953073771735,0.612686261499038,550.256112165914,8.52473895582329,780.76362
"152",2018-08-22 18:05:00,19.842617,9.243982,497.50375,24.63,0.89809524497227,27.2085025912307,29.7056319355946,0.0336636501175306,18.2848632824191,0.61553523998624,552.809272144507,8.52473895582329,755.975208333333
"153",2018-08-22 18:10:00,19.834285,9.199009,497.65,24.615,0.89809524497227,27.2071320239029,29.7176950733886,0.0336499852202695,18.29115981658,0.615497257489504,552.775160244796,8.52473895582329,731.186796666667
"154",2018-08-22 18:15:00,19.81762,9.188372,494.1025,24.59,0.89809524497227,27.2048477450233,29.7378138934735,0.0336272196598644,18.1622960963047,0.610747520357936,548.509443912067,8.52353413654618,706.398385
"155",2018-08-22 18:20:00,19.800955,9.146296,496.47375,24.57,0.89809524497227,27.2030203219196,29.7539211906761,0.0336090155509777,18.2506848182572,0.6133875498728,550.880441865953,8.52293172690763,681.609973333333
"156",2018-08-22 18:25:00,19.775955,9.130476,500.09,24.55,0.89809524497227,27.2011928988159,29.7700393782843,0.0335908188529118,18.3848554679295,0.617562349660186,554.629809703715,8.52353413654618,656.821561666667
"157",2018-08-22 18:30:00,19.734283,9.073057,496.985,24.53,0.89809524497227,27.1993654757121,29.7861684649804,0.0335726295638091,18.2719336024139,0.613436858248357,550.924725483578,8.52112449799197,632.03315
"158",2018-08-22 18:35:00,19.692605,9.078055,501.3775,24.496875,0.89809524497227,27.1963388061966,29.8129062629223,0.0335425198463015,18.4354777888619,0.618372379608951,555.357293748986,8.5114859437751,607.244738333333
"159",2018-08-22 18:40:00,19.659258,9.018559,502.84125,24.463125,0.89809524497227,27.1932550297091,29.8401793625294,0.0335118629097689,18.4913960999019,0.619681131110148,556.532677249062,8.49522088353414,582.456326666667
"160",2018-08-22 18:45:00,19.625908,8.990225,506.584375,24.414375,0.898095080738629,27.1888056578793,29.8796288342378,0.0334676178726203,18.6320937143921,0.623571792600124,560.02675942154,8.48859437751004,557.667915
"161",2018-08-22 18:50:00,19.584214,8.96455,504.191875,24.37,0.897906047817306,27.1904741697068,29.915594570215,0.0334273817507754,18.5429600033134,0.619842602820116,556.560421767002,8.48859437751004,532.879503333333
"162",2018-08-22 18:55:00,19.542513,8.916142,507.0625,24.32,0.897708967447551,27.1918729623542,29.9561840986154,0.0333820888771418,18.6475753509882,0.622495017709887,558.819359589588,8.48859437751004,508.091091666667
"163",2018-08-22 19:00:00,19.492463,8.893297,509.760625,24.276875,0.897512051311438,27.1938959781508,29.9912477795619,0.0333430608606245,18.7454061532622,0.625029218225346,560.971255779014,8.48859437751004,483.30268
"164",2018-08-22 19:05:00,19.450748,8.860495,507.96625,24.240625,0.897504003863006,27.1908254252479,30.0207612245533,0.0333102812590283,18.6815310699737,0.622287054290101,558.505122777481,8.48859437751004,457.34276
"165",2018-08-22 19:10:00,19.400681,8.822865,512.209375,24.2,0.897504003863006,27.1871110267765,30.0538797157686,0.0332735743091206,18.8401546047142,0.626879284235279,562.626667539938,8.48859437751004,431.38284
"166",2018-08-22 19:15:00,19.350603,8.792937,514.185,24.16,0.897504003863006,27.183453772897,30.0865332460273,0.0332374618179728,18.9153668365961,0.628698783004313,564.25967497017,8.48859437751004,405.42292
"167",2018-08-22 19:20:00,19.300516,8.763169,516.2925,24.0975,0.897504003863006,27.1777393137103,30.137643060014,0.033181095084598,18.9968891098881,0.630337583866761,565.730505305751,8.48859437751004,379.463
"168",2018-08-22 19:25:00,19.250418,8.703977,521.40125,24.03875,0.897504003863006,27.1723677220747,30.1857850971077,0.0331281759537809,19.1886572172514,0.635685212609893,570.530023513885,8.48859437751004,353.50308
"169",2018-08-22 19:30:00,19.191958,8.691844,523.385,23.98,0.897504003863006,27.1669961304392,30.2340231199545,0.0330753203446483,19.2654718794462,0.637211654003496,571.900010776306,8.48859437751004,327.54316
"170",2018-08-22 19:35:00,19.150192,8.638162,532.90875,23.93,0.897504003863006,27.1624245630898,30.2751525320419,0.0330303868474864,19.6193365861806,0.648034277132589,581.613358366968,8.48196787148594,301.58324
"171",2018-08-22 19:40:00,19.108418,8.592167,536.29625,23.89125,0.897504003863006,27.1588815983941,30.3070758466136,0.0329955949911194,19.7466249873747,0.651551640524934,584.770206094639,8.45967871485944,275.62332
"172",2018-08-22 19:45:00,19.049922,8.565852,533.71,23.85625,0.897503938169549,27.1556834889295,30.3359459100936,0.0329641937971439,19.6537126461051,0.647868792499586,581.464792685529,8.45244979919678,249.6634
"173",2018-08-22 19:50:00,18.999771,8.515638,540.94875,23.8075,0.897353171686687,27.1557879538072,30.3762149806969,0.0329204939007531,19.9202008396947,0.655782850244946,588.468820605038,8.45244979919678,223.70348
"174",2018-08-22 19:55:00,18.941246,8.482538,545.145,23.75,0.897195507390883,27.155300934187,30.4237975813691,0.0328690064849886,20.075085940723,0.659848129972329,592.012777771449,8.45244979919678,197.74356
"175",2018-08-22 20:00:00,18.89107,8.43299,547.57625,23.68625,0.89703744893434,27.1542539321376,30.4766609402814,0.0328119934778776,20.1653947616632,0.661666801398521,593.539899571074,8.45244979919678,171.78364
